FactID,DateTime,LastBid,High,Low,Open,Volume,MarketCap,Beta,Company,Symbol,Exchange
7310,2021-05-28 10:09:00.0000000,159.50999,159.50999,159.34,159.34,2226,40116763618,0.74,The Travelers Companies,TRV,NYSE
7311,2021-05-28 10:10:00.0000000,159.53,159.53,159.46001,159.50999,1082,40121794693,0.74,The Travelers Companies,TRV,NYSE
7312,2021-05-28 10:11:00.0000000,159.46001,159.46001,159.39999,159.46001,1372,40104191689,0.74,The Travelers Companies,TRV,NYSE
7313,2021-05-28 10:12:00.0000000,159.315,159.41,159.315,159.41,3209,40067723114,0.74,The Travelers Companies,TRV,NYSE
7314,2021-05-28 10:13:00.0000000,159.39461,159.39461,159.24001,159.27,833,40087743797,0.74,The Travelers Companies,TRV,NYSE
7315,2021-05-28 10:14:00.0000000,159.255,159.37,159.255,159.37,1998,40052633728,0.74,The Travelers Companies,TRV,NYSE
7316,2021-05-28 10:15:00.0000000,159.375,159.375,159.265,159.265,343,40082812500,0.74,The Travelers Companies,TRV,NYSE
7317,2021-05-28 10:17:00.0000000,159.399,159.399,159.33501,159.33501,1707,40088849022,0.74,The Travelers Companies,TRV,NYSE
7318,2021-05-28 10:18:00.0000000,159.3,159.3,159.23,159.28,5042,40063950768,0.74,The Travelers Companies,TRV,NYSE
7319,2021-05-28 10:19:00.0000000,159.125,159.28,159.12,159.28,3270,40019937500,0.74,The Travelers Companies,TRV,NYSE
7320,2021-05-28 10:20:00.0000000,159.03,159.105,159.02,159.10001,1724,39996044693,0.74,The Travelers Companies,TRV,NYSE
7321,2021-05-28 10:21:00.0000000,158.96001,158.97,158.96001,158.97,289,39978441689,0.74,The Travelers Companies,TRV,NYSE
7322,2021-05-28 10:22:00.0000000,159.005,159.03999,158.98,159.03999,1172,39989758728,0.74,The Travelers Companies,TRV,NYSE
7323,2021-05-28 10:23:00.0000000,159.11,159.11,159.07001,159.07001,560,40016165154,0.74,The Travelers Companies,TRV,NYSE
7324,2021-05-28 10:24:00.0000000,159.00999,159.07001,159.00999,159.07001,384,39991013618,0.74,The Travelers Companies,TRV,NYSE
7325,2021-05-28 10:25:00.0000000,159.10091,159.17,159.10091,159.17,391,40013877953,0.74,The Travelers Companies,TRV,NYSE
7326,2021-05-28 10:26:00.0000000,159.276,159.276,159.02,159.02,1385,40057914246,0.74,The Travelers Companies,TRV,NYSE
7327,2021-05-28 10:27:00.0000000,159.24001,159.24001,159.24001,159.24001,356,40048861382,0.74,The Travelers Companies,TRV,NYSE
7328,2021-05-28 10:28:00.0000000,159.245,159.245,159.23,159.23,696,40050116272,0.74,The Travelers Companies,TRV,NYSE
7329,2021-05-28 10:29:00.0000000,159.3,159.3,159.23,159.23,419,40063950768,0.74,The Travelers Companies,TRV,NYSE
7330,2021-05-28 10:30:00.0000000,159.24001,159.345,159.22,159.345,2189,40048861382,0.74,The Travelers Companies,TRV,NYSE
7331,2021-05-28 10:31:00.0000000,159.28,159.3,159.24001,159.3,724,40058919693,0.74,The Travelers Companies,TRV,NYSE
7332,2021-05-28 10:32:00.0000000,159.42,159.42,159.34,159.34,763,40094129539,0.74,The Travelers Companies,TRV,NYSE
7333,2021-05-28 10:33:00.0000000,159.63,159.67,159.495,159.5,6434,40146946228,0.74,The Travelers Companies,TRV,NYSE
7334,2021-05-28 10:34:00.0000000,159.64999,159.67999,159.575,159.64,2249,40151973465,0.74,The Travelers Companies,TRV,NYSE
7335,2021-05-28 10:35:00.0000000,159.63,159.67999,159.60001,159.64999,1375,40146946228,0.74,The Travelers Companies,TRV,NYSE
7336,2021-05-28 10:36:00.0000000,159.64,159.64,159.55,159.55,1010,40149459846,0.74,The Travelers Companies,TRV,NYSE
7337,2021-05-28 10:37:00.0000000,159.5,159.58,159.49001,159.53999,7099,40114250000,0.74,The Travelers Companies,TRV,NYSE
7338,2021-05-28 10:38:00.0000000,159.61,159.61,159.47,159.5,1692,40141915154,0.74,The Travelers Companies,TRV,NYSE
7339,2021-05-28 10:39:00.0000000,159.56,159.61,159.55,159.56,2356,40129339386,0.74,The Travelers Companies,TRV,NYSE
7340,2021-05-28 10:40:00.0000000,159.64999,159.64999,159.56,159.605,1754,40151973465,0.74,The Travelers Companies,TRV,NYSE
7341,2021-05-28 10:41:00.0000000,159.58501,159.62,159.58501,159.62,1599,40135629189,0.74,The Travelers Companies,TRV,NYSE
7342,2021-05-28 10:42:00.0000000,159.575,159.575,159.575,159.575,502,40133111732,0.74,The Travelers Companies,TRV,NYSE
7343,2021-05-28 10:43:00.0000000,159.63499,159.64,159.62,159.62,1153,40148201118,0.74,The Travelers Companies,TRV,NYSE
7344,2021-05-28 10:46:00.0000000,159.58,159.61,159.53999,159.58,2892,40134370461,0.74,The Travelers Companies,TRV,NYSE
7345,2021-05-28 10:47:00.0000000,159.63,159.67999,159.47,159.55,11646,40146946228,0.74,The Travelers Companies,TRV,NYSE
7346,2021-05-28 10:48:00.0000000,159.57001,159.59,159.57001,159.59,1020,40131856842,0.74,The Travelers Companies,TRV,NYSE
7347,2021-05-28 10:49:00.0000000,159.38,159.545,159.38,159.545,755,40084071228,0.74,The Travelers Companies,TRV,NYSE
7348,2021-05-28 10:50:00.0000000,159.485,159.5,159.47501,159.48,435,40110477654,0.74,The Travelers Companies,TRV,NYSE
7349,2021-05-28 10:51:00.0000000,159.45,159.48,159.45,159.46001,884,40101674232,0.74,The Travelers Companies,TRV,NYSE
7350,2021-05-28 10:53:00.0000000,159.47,159.48,159.405,159.4333,2626,40106705307,0.74,The Travelers Companies,TRV,NYSE
7351,2021-05-28 10:55:00.0000000,159.5,159.5,159.5,159.5,173,40114250000,0.74,The Travelers Companies,TRV,NYSE
7352,2021-05-28 10:56:00.0000000,159.44,159.5,159.44,159.5,1152,40099160614,0.74,The Travelers Companies,TRV,NYSE
7353,2021-05-28 10:57:00.0000000,159.52,159.52,159.48,159.48,713,40119281075,0.74,The Travelers Companies,TRV,NYSE
7354,2021-05-28 10:58:00.0000000,159.56,159.60001,159.52,159.52,2231,40129339386,0.74,The Travelers Companies,TRV,NYSE
7355,2021-05-28 10:59:00.0000000,159.63,159.675,159.63,159.64999,1344,40146946228,0.74,The Travelers Companies,TRV,NYSE
7356,2021-05-28 11:00:00.0000000,159.61,159.66,159.60001,159.66,800,40141915154,0.74,The Travelers Companies,TRV,NYSE
7357,2021-05-28 11:01:00.0000000,159.605,159.612,159.56,159.605,2359,40140656425,0.74,The Travelers Companies,TRV,NYSE
7358,2021-05-28 11:02:00.0000000,159.645,159.645,159.61,159.61,1029,40150718575,0.74,The Travelers Companies,TRV,NYSE
7359,2021-05-28 11:03:00.0000000,159.56,159.64999,159.56,159.61501,861,40129339386,0.74,The Travelers Companies,TRV,NYSE
7360,2021-05-28 11:04:00.0000000,159.575,159.575,159.52,159.52,485,40133111732,0.74,The Travelers Companies,TRV,NYSE
7361,2021-05-28 11:05:00.0000000,159.63,159.63,159.62,159.62,391,40146946228,0.74,The Travelers Companies,TRV,NYSE
