FactID,DateTime,LastBid,High,Low,Open,Volume,MarketCap,Beta,SecurityID
1640,2021-05-28 14:47:00.0000000,53.07000,53.07000,53.05000,53.05500,23177,223648000000,0.920,7
1641,2021-05-28 14:48:00.0000000,53.05000,53.07000,53.05000,53.06500,21329,223564000000,0.920,7
1642,2021-05-28 14:49:00.0000000,53.05500,53.06000,53.05000,53.05000,5789,223585000000,0.920,7
1643,2021-05-28 14:50:00.0000000,53.05500,53.06000,53.05330,53.05500,7450,223585000000,0.920,7
1644,2021-05-28 14:51:00.0000000,53.03000,53.06000,53.03000,53.06000,22888,223479000000,0.920,7
1645,2021-05-28 14:52:00.0000000,53.01000,53.03000,53.00500,53.03000,25207,223395000000,0.920,7
1646,2021-05-28 14:53:00.0000000,53.01500,53.02000,53.01000,53.01000,6821,223416000000,0.920,7
1647,2021-05-28 14:54:00.0000000,53.00500,53.01500,53.00000,53.01500,5822,223374000000,0.920,7
1648,2021-05-28 14:55:00.0000000,53.00020,53.01000,53.00000,53.00500,7859,223354000000,0.920,7
1649,2021-05-28 14:56:00.0000000,53.01000,53.01500,53.00000,53.00290,9904,223395000000,0.920,7
1650,2021-05-28 14:57:00.0000000,52.99500,53.01500,52.99500,53.01000,16770,223332000000,0.920,7
1651,2021-05-28 14:58:00.0000000,52.99000,53.00500,52.98500,52.99500,16658,223311000000,0.920,7
1652,2021-05-28 14:59:00.0000000,52.99000,53.00000,52.98500,52.98500,12449,223311000000,0.920,7
1653,2021-05-28 15:00:00.0000000,53.00000,53.00000,52.98000,53.00000,13175,223353000000,0.920,7
1654,2021-05-28 09:30:00.0000000,103.22000,103.63000,103.15000,103.62000,189711,199499000000,1.310,8
1655,2021-05-28 09:31:00.0000000,103.04000,103.28000,103.01000,103.22000,60929,199151000000,1.310,8
1656,2021-05-28 09:32:00.0000000,103.22000,103.28000,102.95000,103.07000,43088,199499000000,1.310,8
1657,2021-05-28 09:33:00.0000000,103.54000,103.54000,103.10000,103.22000,92122,200118000000,1.310,8
1658,2021-05-28 09:34:00.0000000,103.70000,103.76000,103.54000,103.56000,35934,200427000000,1.310,8
1659,2021-05-28 09:35:00.0000000,103.87000,103.92000,103.57000,103.69500,53219,200756000000,1.310,8
1660,2021-05-28 09:36:00.0000000,103.70010,103.94500,103.69000,103.85000,53892,200427000000,1.310,8
1661,2021-05-28 09:37:00.0000000,103.72000,103.73730,103.58000,103.70000,24951,200466000000,1.310,8
1662,2021-05-28 09:38:00.0000000,103.59000,103.75010,103.57000,103.73000,23368,200214000000,1.310,8
1663,2021-05-28 09:39:00.0000000,103.54000,103.59000,103.50000,103.50000,52217,200118000000,1.310,8
1664,2021-05-28 09:40:00.0000000,103.45500,103.57000,103.40000,103.57000,29151,199954000000,1.310,8
1665,2021-05-28 09:41:00.0000000,103.54000,103.55000,103.40000,103.45000,31231,200118000000,1.310,8
1666,2021-05-28 09:42:00.0000000,103.42000,103.59000,103.38000,103.56000,30598,199886000000,1.310,8
1667,2021-05-28 09:43:00.0000000,103.40000,103.51000,103.34000,103.42500,20609,199847000000,1.310,8
1668,2021-05-28 09:44:00.0000000,103.34000,103.41000,103.34000,103.39000,21509,199731000000,1.310,8
1669,2021-05-28 09:45:00.0000000,103.41530,103.48000,103.33000,103.37000,26189,199877000000,1.310,8
1670,2021-05-28 09:46:00.0000000,103.45000,103.51000,103.35000,103.39000,26191,199944000000,1.310,8
1671,2021-05-28 09:47:00.0000000,103.38000,103.47000,103.37000,103.45000,28849,199809000000,1.310,8
1672,2021-05-28 09:48:00.0000000,103.43000,103.43000,103.29100,103.37000,26425,199905000000,1.310,8
1673,2021-05-28 09:49:00.0000000,103.46000,103.50000,103.36000,103.41700,15109,199963000000,1.310,8
1674,2021-05-28 09:50:00.0000000,103.52000,103.56000,103.44000,103.44000,21338,200079000000,1.310,8
1675,2021-05-28 09:51:00.0000000,103.49000,103.55000,103.45000,103.52000,12320,200021000000,1.310,8
1676,2021-05-28 09:52:00.0000000,103.72000,103.75000,103.48000,103.50000,34429,200466000000,1.310,8
1677,2021-05-28 09:53:00.0000000,103.62000,103.81000,103.59020,103.75000,30467,200272000000,1.310,8
1678,2021-05-28 09:54:00.0000000,103.58000,103.64000,103.55000,103.62000,12378,200195000000,1.310,8
1679,2021-05-28 09:55:00.0000000,103.58000,103.67000,103.52000,103.59140,32346,200195000000,1.310,8
1680,2021-05-28 09:56:00.0000000,103.63000,103.63000,103.53000,103.58000,18305,200292000000,1.310,8
1681,2021-05-28 09:57:00.0000000,103.74000,103.77000,103.64000,103.64000,20812,200504000000,1.310,8
1682,2021-05-28 09:58:00.0000000,103.71000,103.78990,103.69500,103.74000,21849,200446000000,1.310,8
1683,2021-05-28 09:59:00.0000000,103.71000,103.76000,103.67000,103.71000,19878,200446000000,1.310,8
1684,2021-05-28 10:00:00.0000000,103.72000,103.77000,103.70000,103.72000,13206,200466000000,1.310,8
1685,2021-05-28 10:01:00.0000000,103.81000,103.84000,103.64000,103.69000,28639,200640000000,1.310,8
1686,2021-05-28 10:02:00.0000000,103.82500,103.94000,103.80000,103.80000,30387,200669000000,1.310,8
1687,2021-05-28 10:03:00.0000000,103.89000,103.90140,103.78000,103.83000,27367,200794000000,1.310,8
1688,2021-05-28 10:04:00.0000000,103.81000,103.90000,103.77000,103.87000,20654,200640000000,1.310,8
1689,2021-05-28 10:05:00.0000000,103.77710,103.88000,103.74000,103.87000,12083,200576000000,1.310,8
1690,2021-05-28 10:06:00.0000000,103.73000,103.81000,103.66000,103.79000,18476,200485000000,1.310,8
1691,2021-05-28 10:07:00.0000000,103.78000,103.83000,103.74000,103.74000,16164,200582000000,1.310,8
1692,2021-05-28 10:08:00.0000000,103.73000,103.82000,103.71000,103.80000,7906,200485000000,1.310,8
1693,2021-05-28 10:09:00.0000000,103.72000,103.75000,103.67000,103.75000,13540,200466000000,1.310,8
1694,2021-05-28 10:10:00.0000000,103.75000,103.76000,103.71000,103.73000,6825,200524000000,1.310,8
1695,2021-05-28 10:11:00.0000000,103.64000,103.74130,103.62000,103.74130,5948,200311000000,1.310,8
1696,2021-05-28 10:12:00.0000000,103.61000,103.65000,103.59000,103.63000,21006,200253000000,1.310,8
1697,2021-05-28 10:13:00.0000000,103.62500,103.65000,103.60000,103.62000,16722,200282000000,1.310,8
1698,2021-05-28 10:14:00.0000000,103.64000,103.67000,103.62000,103.63000,8432,200311000000,1.310,8
1699,2021-05-28 10:15:00.0000000,103.65000,103.72000,103.63000,103.64000,5339,200330000000,1.310,8
1700,2021-05-28 10:16:00.0000000,103.67560,103.67560,103.61740,103.65610,4813,200380000000,1.310,8
1701,2021-05-28 10:17:00.0000000,103.62000,103.68360,103.59000,103.68360,8088,200272000000,1.310,8
1702,2021-05-28 10:18:00.0000000,103.54000,103.60620,103.53000,103.59000,8049,200118000000,1.310,8
1703,2021-05-28 10:19:00.0000000,103.54500,103.56500,103.49000,103.55000,25006,200128000000,1.310,8
1704,2021-05-28 10:20:00.0000000,103.60000,103.60000,103.52000,103.55000,21501,200234000000,1.310,8
1705,2021-05-28 10:21:00.0000000,103.59000,103.63000,103.55000,103.60500,24232,200214000000,1.310,8
1706,2021-05-28 10:22:00.0000000,103.58000,103.60000,103.54000,103.59000,6816,200195000000,1.310,8
1707,2021-05-28 10:23:00.0000000,103.62380,103.63000,103.57000,103.59000,8643,200280000000,1.310,8
1708,2021-05-28 10:24:00.0000000,103.65000,103.69000,103.62990,103.62990,12245,200330000000,1.310,8
1709,2021-05-28 10:25:00.0000000,103.61000,103.68000,103.61000,103.64500,7132,200253000000,1.310,8
1710,2021-05-28 10:26:00.0000000,103.63000,103.64000,103.60000,103.61000,10635,200292000000,1.310,8
1711,2021-05-28 10:27:00.0000000,103.70000,103.70000,103.62000,103.67000,4908,200427000000,1.310,8
1712,2021-05-28 10:28:00.0000000,103.71000,103.73000,103.67410,103.69000,15281,200446000000,1.310,8
1713,2021-05-28 10:29:00.0000000,103.63000,103.71000,103.63000,103.70000,21117,200292000000,1.310,8
1714,2021-05-28 10:30:00.0000000,103.66000,103.75000,103.64000,103.64000,24627,200350000000,1.310,8
1715,2021-05-28 10:31:00.0000000,103.73000,103.75000,103.66000,103.69000,12147,200485000000,1.310,8
1716,2021-05-28 10:32:00.0000000,103.75500,103.78000,103.71000,103.75000,12570,200533000000,1.310,8
1717,2021-05-28 10:33:00.0000000,103.72000,103.76000,103.68500,103.76000,9469,200466000000,1.310,8
1718,2021-05-28 10:34:00.0000000,103.75000,103.79000,103.71000,103.71000,7518,200524000000,1.310,8
1719,2021-05-28 10:35:00.0000000,103.77000,103.77990,103.74000,103.75000,12239,200562000000,1.310,8
1720,2021-05-28 10:36:00.0000000,103.75500,103.77600,103.73000,103.77600,18730,200533000000,1.310,8
1721,2021-05-28 10:37:00.0000000,103.61000,103.75000,103.60140,103.75000,17083,200253000000,1.310,8
